Instructiune,Data
addBook,26-05-2021 15:07:44
addBook,26-05-2021 15:10:21
selectTheSection,26-05-2021 15:10:35
writeTheNameAuthor,26-05-2021 15:10:45
writeTheNameAuthor,26-05-2021 15:10:56
addBook,26-05-2021 15:11:23
writeTheNameAuthor,26-05-2021 15:11:49
displayTheAuthors,26-05-2021 15:12:11
writeTheNameAuthor,26-05-2021 15:14:50
displayTheAuthors,26-05-2021 15:38:20
displayTheAuthors,26-05-2021 16:06:51
addBook,26-05-2021 16:07:24
writeTheNameAuthor,26-05-2021 16:07:46
addBook,26-05-2021 16:08:07
selectTheSection,26-05-2021 16:08:35
selectTheSection,26-05-2021 16:08:46
displayTheAuthors,26-05-2021 16:18:45
addBook,26-05-2021 16:30:03
selectTheSection,26-05-2021 16:30:27
writeTheNameAuthor,26-05-2021 16:31:13
addBook,26-05-2021 16:31:25
writeTheNameAuthor,26-05-2021 16:31:41
addBook,26-05-2021 16:32:34
displayTheAuthors,26-05-2021 16:32:49
writeTheNameAuthor,26-05-2021 16:32:55
addBook,26-05-2021 16:35:21
selectTheSection,26-05-2021 16:35:46
writeTheNameAuthor,26-05-2021 16:36:58
displayTheAuthors,26-05-2021 16:37:07
selectTheSection,26-05-2021 16:39:44
writeTheNameAuthor,26-05-2021 16:39:59
writeTheNameAuthor,26-05-2021 16:40:53
addBook,26-05-2021 16:41:03
addBook,26-05-2021 16:41:50
addBook,26-05-2021 16:42:18
addBook,26-05-2021 16:42:42
addBook,26-05-2021 16:42:57
addBook,26-05-2021 16:43:15
displayTheAuthors,26-05-2021 16:44:01
writeTheNameAuthor,26-05-2021 17:56:54
displayTheAuthors,26-05-2021 17:57:00
addBook,26-05-2021 17:57:50
selectTheSection,26-05-2021 17:58:02
